"Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","request_datetime","drop_datetime","request_day","request_hour"
3482,"Airport",2,"Trip Completed","13-07-2016 17:23:18","13-07-2016 18:20:51",2016-07-13 17:23:00,2016-07-13 18:20:00,"13","17"
4652,"City",2,"Trip Completed","14-07-2016 12:01:02","14-07-2016 12:36:46",2016-07-14 12:01:00,2016-07-14 12:36:00,"14","12"
5335,"Airport",2,"Trip Completed","14-07-2016 22:24:13","14-07-2016 23:18:52",2016-07-14 22:24:00,2016-07-14 23:18:00,"14","22"
535,"Airport",3,"Trip Completed","11/7/2016 10:00","11/7/2016 10:31",2016-07-11 10:00:00,2016-07-11 10:31:00,"11","10"
960,"Airport",3,"Trip Completed","11/7/2016 18:45","11/7/2016 19:23",2016-07-11 18:45:00,2016-07-11 19:23:00,"11","18"
1934,"Airport",3,"Trip Completed","12/7/2016 11:17","12/7/2016 12:23",2016-07-12 11:17:00,2016-07-12 12:23:00,"12","11"
2083,"Airport",3,"Trip Completed","12/7/2016 15:46","12/7/2016 16:40",2016-07-12 15:46:00,2016-07-12 16:40:00,"12","15"
2211,"Airport",3,"Trip Completed","12/7/2016 18:00","12/7/2016 18:28",2016-07-12 18:00:00,2016-07-12 18:28:00,"12","18"
3096,"Airport",3,"Trip Completed","13-07-2016 08:17:29","13-07-2016 09:22:37",2016-07-13 08:17:00,2016-07-13 09:22:00,"13","08"
3881,"Airport",3,"Trip Completed","13-07-2016 21:54:18","13-07-2016 22:51:23",2016-07-13 21:54:00,2016-07-13 22:51:00,"13","21"
5254,"City",3,"Trip Completed","14-07-2016 21:23:03","14-07-2016 22:25:19",2016-07-14 21:23:00,2016-07-14 22:25:00,"14","21"
5434,"City",3,"Trip Completed","15-07-2016 02:41:38","15-07-2016 03:24:43",2016-07-15 02:41:00,2016-07-15 03:24:00,"15","02"
5916,"City",3,"Trip Completed","15-07-2016 10:00:43","15-07-2016 10:53:06",2016-07-15 10:00:00,2016-07-15 10:53:00,"15","10"
669,"City",4,"Trip Completed","11/7/2016 13:08","11/7/2016 13:49",2016-07-11 13:08:00,2016-07-11 13:49:00,"11","13"
1567,"Airport",4,"Trip Completed","12/7/2016 6:21","12/7/2016 7:10",2016-07-12 06:21:00,2016-07-12 07:10:00,"12","06"
1826,"City",4,"Trip Completed","12/7/2016 9:27","12/7/2016 10:27",2016-07-12 09:27:00,2016-07-12 10:27:00,"12","09"
2102,"City",4,"Trip Completed","12/7/2016 16:09","12/7/2016 17:01",2016-07-12 16:09:00,2016-07-12 17:01:00,"12","16"
2847,"Airport",4,"Trip Completed","13-07-2016 05:34:20","13-07-2016 06:09:59",2016-07-13 05:34:00,2016-07-13 06:09:00,"13","05"
3722,"Airport",4,"Trip Completed","13-07-2016 19:57:59","13-07-2016 20:32:04",2016-07-13 19:57:00,2016-07-13 20:32:00,"13","19"
4075,"City",4,"Trip Completed","14-07-2016 02:17:35","14-07-2016 03:21:38",2016-07-14 02:17:00,2016-07-14 03:21:00,"14","02"
4686,"City",4,"Trip Completed","14-07-2016 13:01:10","14-07-2016 13:45:28",2016-07-14 13:01:00,2016-07-14 13:45:00,"14","13"
5771,"Airport",4,"Trip Completed","15-07-2016 08:30:06","15-07-2016 09:37:20",2016-07-15 08:30:00,2016-07-15 09:37:00,"15","08"
6106,"Airport",4,"Trip Completed","15-07-2016 15:01:20","15-07-2016 15:47:31",2016-07-15 15:01:00,2016-07-15 15:47:00,"15","15"
312,"City",5,"Trip Completed","11/7/2016 7:27","11/7/2016 8:31",2016-07-11 07:27:00,2016-07-11 08:31:00,"11","07"
577,"Airport",5,"Trip Completed","11/7/2016 11:03","11/7/2016 12:01",2016-07-11 11:03:00,2016-07-11 12:01:00,"11","11"
1179,"City",5,"Trip Completed","11/7/2016 20:58","11/7/2016 21:45",2016-07-11 20:58:00,2016-07-11 21:45:00,"11","20"
1756,"Airport",5,"Trip Completed","12/7/2016 8:40","12/7/2016 9:23",2016-07-12 08:40:00,2016-07-12 09:23:00,"12","08"
2052,"City",5,"Trip Completed","12/7/2016 14:48","12/7/2016 15:50",2016-07-12 14:48:00,2016-07-12 15:50:00,"12","14"
2559,"City",5,"Trip Completed","12/7/2016 21:32","12/7/2016 22:29",2016-07-12 21:32:00,2016-07-12 22:29:00,"12","21"
3014,"City",5,"Trip Completed","13-07-2016 07:28:14","13-07-2016 08:29:47",2016-07-13 07:28:00,2016-07-13 08:29:00,"13","07"
3317,"City",5,"Trip Completed","13-07-2016 12:14:27","13-07-2016 12:46:38",2016-07-13 12:14:00,2016-07-13 12:46:00,"13","12"
4297,"City",5,"Trip Completed","14-07-2016 06:43:01","14-07-2016 07:49:38",2016-07-14 06:43:00,2016-07-14 07:49:00,"14","06"
5857,"Airport",5,"Trip Completed","15-07-2016 09:08:50","15-07-2016 10:07:07",2016-07-15 09:08:00,2016-07-15 10:07:00,"15","09"
6690,"Airport",5,"Trip Completed","15-07-2016 22:41:41","15-07-2016 23:51:00",2016-07-15 22:41:00,2016-07-15 23:51:00,"15","22"
1517,"Airport",6,"Trip Completed","12/7/2016 5:45","12/7/2016 6:28",2016-07-12 05:45:00,2016-07-12 06:28:00,"12","05"
1999,"Airport",6,"Trip Completed","12/7/2016 13:02","12/7/2016 13:51",2016-07-12 13:02:00,2016-07-12 13:51:00,"12","13"
2960,"Airport",6,"Trip Completed","13-07-2016 06:50:33","13-07-2016 07:40:35",2016-07-13 06:50:00,2016-07-13 07:40:00,"13","06"
3882,"City",6,"Trip Completed","13-07-2016 21:53:03","13-07-2016 22:45:24",2016-07-13 21:53:00,2016-07-13 22:45:00,"13","21"
4081,"Airport",6,"Trip Completed","14-07-2016 02:37:14","14-07-2016 03:30:27",2016-07-14 02:37:00,2016-07-14 03:30:00,"14","02"
4740,"City",6,"Trip Completed","14-07-2016 14:50:07","14-07-2016 15:38:14",2016-07-14 14:50:00,2016-07-14 15:38:00,"14","14"
5270,"City",6,"Trip Completed","14-07-2016 21:33:55","14-07-2016 22:25:43",2016-07-14 21:33:00,2016-07-14 22:25:00,"14","21"
6758,"Airport",6,"Trip Completed","15-07-2016 00:03:39","15-07-2016 01:07:39",2016-07-15 00:03:00,2016-07-15 01:07:00,"15","00"
5741,"City",6,"Trip Completed","15-07-2016 07:52:51","15-07-2016 08:38:55",2016-07-15 07:52:00,2016-07-15 08:38:00,"15","07"
6087,"Airport",6,"Trip Completed","15-07-2016 14:28:50","15-07-2016 15:33:53",2016-07-15 14:28:00,2016-07-15 15:33:00,"15","14"
1039,"City",7,"Trip Completed","11/7/2016 19:31","11/7/2016 20:41",2016-07-11 19:31:00,2016-07-11 20:41:00,"11","19"
1273,"Airport",7,"Trip Completed","11/7/2016 22:07","11/7/2016 23:12",2016-07-11 22:07:00,2016-07-11 23:12:00,"11","22"
2480,"City",7,"Trip Completed","12/7/2016 20:39","12/7/2016 21:28",2016-07-12 20:39:00,2016-07-12 21:28:00,"12","20"
4105,"City",7,"Trip Completed","14-07-2016 03:39:38","14-07-2016 04:39:04",2016-07-14 03:39:00,2016-07-14 04:39:00,"14","03"
4509,"City",7,"Trip Completed","14-07-2016 09:11:13","14-07-2016 10:17:01",2016-07-14 09:11:00,2016-07-14 10:17:00,"14","09"
4986,"Airport",7,"Trip Completed","14-07-2016 18:52:32","14-07-2016 19:50:57",2016-07-14 18:52:00,2016-07-14 19:50:00,"14","18"
5898,"City",7,"Trip Completed","15-07-2016 09:50:28","15-07-2016 10:40:39",2016-07-15 09:50:00,2016-07-15 10:40:00,"15","09"
6142,"Airport",7,"Trip Completed","15-07-2016 15:50:15","15-07-2016 16:36:56",2016-07-15 15:50:00,2016-07-15 16:36:00,"15","15"
380,"Airport",8,"Trip Completed","11/7/2016 8:18","11/7/2016 9:18",2016-07-11 08:18:00,2016-07-11 09:18:00,"11","08"
1050,"Airport",8,"Trip Completed","11/7/2016 19:39","11/7/2016 20:30",2016-07-11 19:39:00,2016-07-11 20:30:00,"11","19"
1769,"City",8,"Trip Completed","12/7/2016 8:57","12/7/2016 9:24",2016-07-12 08:57:00,2016-07-12 09:24:00,"12","08"
2520,"City",8,"Trip Completed","12/7/2016 21:05","12/7/2016 22:20",2016-07-12 21:05:00,2016-07-12 22:20:00,"12","21"
3265,"Airport",8,"Trip Completed","13-07-2016 10:22:07","13-07-2016 11:07:02",2016-07-13 10:22:00,2016-07-13 11:07:00,"13","10"
4648,"City",8,"Trip Completed","14-07-2016 11:55:10","14-07-2016 12:59:34",2016-07-14 11:55:00,2016-07-14 12:59:00,"14","11"
449,"Airport",9,"Trip Completed","11/7/2016 9:08","11/7/2016 9:52",2016-07-11 09:08:00,2016-07-11 09:52:00,"11","09"
846,"Airport",9,"Trip Completed","11/7/2016 17:46","11/7/2016 18:52",2016-07-11 17:46:00,2016-07-11 18:52:00,"11","17"
1346,"Airport",9,"Trip Completed","11/7/2016 23:39","12/7/2016 0:23",2016-07-11 23:39:00,2016-07-12 00:23:00,"11","23"
1474,"Airport",9,"Trip Completed","12/7/2016 5:13","12/7/2016 5:56",2016-07-12 05:13:00,2016-07-12 05:56:00,"12","05"
2240,"City",9,"Trip Completed","12/7/2016 18:20","12/7/2016 18:54",2016-07-12 18:20:00,2016-07-12 18:54:00,"12","18"
3072,"Airport",9,"Trip Completed","13-07-2016 08:04:57","13-07-2016 08:36:37",2016-07-13 08:04:00,2016-07-13 08:36:00,"13","08"
3459,"Airport",9,"Trip Completed","13-07-2016 17:03:30","13-07-2016 17:31:49",2016-07-13 17:03:00,2016-07-13 17:31:00,"13","17"
3774,"Airport",9,"Trip Completed","13-07-2016 20:41:24","13-07-2016 21:27:29",2016-07-13 20:41:00,2016-07-13 21:27:00,"13","20"
4023,"City",9,"Trip Completed","13-07-2016 23:58:41","14-07-2016 00:58:39",2016-07-13 23:58:00,2016-07-14 00:58:00,"13","23"
4117,"City",9,"Trip Completed","14-07-2016 04:21:42","14-07-2016 05:07:07",2016-07-14 04:21:00,2016-07-14 05:07:00,"14","04"
4880,"Airport",9,"Trip Completed","14-07-2016 17:58:46","14-07-2016 19:02:42",2016-07-14 17:58:00,2016-07-14 19:02:00,"14","17"
5568,"Airport",9,"Trip Completed","15-07-2016 05:47:49","15-07-2016 06:25:49",2016-07-15 05:47:00,2016-07-15 06:25:00,"15","05"
5994,"Airport",9,"Trip Completed","15-07-2016 11:51:16","15-07-2016 12:32:12",2016-07-15 11:51:00,2016-07-15 12:32:00,"15","11"
1809,"Airport",10,"Trip Completed","12/7/2016 9:13","12/7/2016 10:01",2016-07-12 09:13:00,2016-07-12 10:01:00,"12","09"
2064,"Airport",10,"Trip Completed","12/7/2016 15:08","12/7/2016 16:14",2016-07-12 15:08:00,2016-07-12 16:14:00,"12","15"
3210,"City",10,"Trip Completed","13-07-2016 09:47:06","13-07-2016 10:52:37",2016-07-13 09:47:00,2016-07-13 10:52:00,"13","09"
4350,"City",10,"Trip Completed","14-07-2016 07:24:43","14-07-2016 08:22:09",2016-07-14 07:24:00,2016-07-14 08:22:00,"14","07"
4713,"City",10,"Trip Completed","14-07-2016 13:31:24","14-07-2016 14:10:56",2016-07-14 13:31:00,2016-07-14 14:10:00,"14","13"
5629,"Airport",10,"Trip Completed","15-07-2016 06:33:00","15-07-2016 07:19:53",2016-07-15 06:33:00,2016-07-15 07:19:00,"15","06"
6157,"Airport",10,"Trip Completed","15-07-2016 16:32:51","15-07-2016 17:44:44",2016-07-15 16:32:00,2016-07-15 17:44:00,"15","16"
2030,"City",11,"Trip Completed","12/7/2016 14:11","12/7/2016 15:02",2016-07-12 14:11:00,2016-07-12 15:02:00,"12","14"
3226,"City",11,"Trip Completed","13-07-2016 10:00:17","13-07-2016 11:02:52",2016-07-13 10:00:00,2016-07-13 11:02:00,"13","10"
3353,"City",11,"Trip Completed","13-07-2016 13:29:44","13-07-2016 14:09:00",2016-07-13 13:29:00,2016-07-13 14:09:00,"13","13"
4293,"City",11,"Trip Completed","14-07-2016 06:42:36","14-07-2016 07:12:41",2016-07-14 06:42:00,2016-07-14 07:12:00,"14","06"
4936,"City",11,"Trip Completed","14-07-2016 18:22:17","14-07-2016 19:14:36",2016-07-14 18:22:00,2016-07-14 19:14:00,"14","18"
5661,"Airport",11,"Trip Completed","15-07-2016 07:08:50","15-07-2016 07:59:00",2016-07-15 07:08:00,2016-07-15 07:59:00,"15","07"
5778,"City",11,"Trip Completed","15-07-2016 08:22:03","15-07-2016 09:13:04",2016-07-15 08:22:00,2016-07-15 09:13:00,"15","08"
6425,"Airport",11,"Trip Completed","15-07-2016 19:46:40","15-07-2016 20:26:51",2016-07-15 19:46:00,2016-07-15 20:26:00,"15","19"
45,"Airport",12,"Trip Completed","11/7/2016 3:17","11/7/2016 4:09",2016-07-11 03:17:00,2016-07-11 04:09:00,"11","03"
264,"City",12,"Trip Completed","11/7/2016 6:51","11/7/2016 7:40",2016-07-11 06:51:00,2016-07-11 07:40:00,"11","06"
1183,"City",12,"Trip Completed","11/7/2016 21:05","11/7/2016 21:38",2016-07-11 21:05:00,2016-07-11 21:38:00,"11","21"
1536,"Airport",12,"Trip Completed","12/7/2016 5:59","12/7/2016 6:59",2016-07-12 05:59:00,2016-07-12 06:59:00,"12","05"
2437,"City",12,"Trip Completed","12/7/2016 20:18","12/7/2016 21:26",2016-07-12 20:18:00,2016-07-12 21:26:00,"12","20"
2641,"Airport",12,"Trip Completed","12/7/2016 22:28","12/7/2016 23:05",2016-07-12 22:28:00,2016-07-12 23:05:00,"12","22"
4077,"Airport",12,"Trip Completed","14-07-2016 02:14:15","14-07-2016 03:13:09",2016-07-14 02:14:00,2016-07-14 03:13:00,"14","02"
4610,"City",12,"Trip Completed","14-07-2016 10:35:14","14-07-2016 11:39:01",2016-07-14 10:35:00,2016-07-14 11:39:00,"14","10"
5066,"Airport",12,"Trip Completed","14-07-2016 19:31:20","14-07-2016 20:14:03",2016-07-14 19:31:00,2016-07-14 20:14:00,"14","19"
5666,"Airport",12,"Trip Completed","15-07-2016 07:04:55","15-07-2016 08:12:37",2016-07-15 07:04:00,2016-07-15 08:12:00,"15","07"
5923,"City",12,"Trip Completed","15-07-2016 10:07:49","15-07-2016 10:50:50",2016-07-15 10:07:00,2016-07-15 10:50:00,"15","10"
6367,"City",12,"Trip Completed","15-07-2016 19:04:46","15-07-2016 19:46:04",2016-07-15 19:04:00,2016-07-15 19:46:00,"15","19"
155,"City",13,"Trip Completed","11/7/2016 5:32","11/7/2016 6:28",2016-07-11 05:32:00,2016-07-11 06:28:00,"11","05"
310,"Airport",13,"Trip Completed","11/7/2016 7:24","11/7/2016 8:28",2016-07-11 07:24:00,2016-07-11 08:28:00,"11","07"
607,"City",13,"Trip Completed","11/7/2016 11:51","11/7/2016 12:42",2016-07-11 11:51:00,2016-07-11 12:42:00,"11","11"
1012,"City",13,"Trip Completed","11/7/2016 19:15","11/7/2016 19:57",2016-07-11 19:15:00,2016-07-11 19:57:00,"11","19"
1696,"Airport",13,"Trip Completed","12/7/2016 8:01","12/7/2016 8:42",2016-07-12 08:01:00,2016-07-12 08:42:00,"12","08"
3076,"City",13,"Trip Completed","13-07-2016 08:09:04","13-07-2016 09:12:19",2016-07-13 08:09:00,2016-07-13 09:12:00,"13","08"
4198,"Airport",13,"Trip Completed","14-07-2016 05:32:14","14-07-2016 06:45:32",2016-07-14 05:32:00,2016-07-14 06:45:00,"14","05"
4627,"City",13,"Trip Completed","14-07-2016 11:13:19","14-07-2016 12:00:12",2016-07-14 11:13:00,2016-07-14 12:00:00,"14","11"
5289,"City",13,"Trip Completed","14-07-2016 21:43:24","14-07-2016 22:24:13",2016-07-14 21:43:00,2016-07-14 22:24:00,"14","21"
5495,"Airport",13,"Trip Completed","15-07-2016 05:00:13","15-07-2016 06:02:27",2016-07-15 05:00:00,2016-07-15 06:02:00,"15","05"
6656,"Airport",13,"Trip Completed","15-07-2016 22:08:42","15-07-2016 22:41:18",2016-07-15 22:08:00,2016-07-15 22:41:00,"15","22"
139,"Airport",14,"Trip Completed","11/7/2016 5:21","11/7/2016 6:09",2016-07-11 05:21:00,2016-07-11 06:09:00,"11","05"
215,"City",14,"Trip Completed","11/7/2016 6:15","11/7/2016 7:07",2016-07-11 06:15:00,2016-07-11 07:07:00,"11","06"
1816,"City",14,"Trip Completed","12/7/2016 9:24","12/7/2016 10:07",2016-07-12 09:24:00,2016-07-12 10:07:00,"12","09"
2505,"Airport",14,"Trip Completed","12/7/2016 21:03","12/7/2016 22:14",2016-07-12 21:03:00,2016-07-12 22:14:00,"12","21"
3346,"City",14,"Trip Completed","13-07-2016 13:01:42","13-07-2016 13:55:59",2016-07-13 13:01:00,2016-07-13 13:55:00,"13","13"
5294,"City",14,"Trip Completed","14-07-2016 21:45:50","14-07-2016 22:16:40",2016-07-14 21:45:00,2016-07-14 22:16:00,"14","21"
6226,"Airport",14,"Trip Completed","15-07-2016 17:34:25","15-07-2016 18:33:13",2016-07-15 17:34:00,2016-07-15 18:33:00,"15","17"
6733,"Airport",14,"Trip Completed","15-07-2016 23:32:44","16-07-2016 00:37:46",2016-07-15 23:32:00,2016-07-16 00:37:00,"15","23"
1027,"Airport",15,"Trip Completed","11/7/2016 19:18","11/7/2016 20:24",2016-07-11 19:18:00,2016-07-11 20:24:00,"11","19"
2675,"Airport",15,"Trip Completed","12/7/2016 23:43","13-07-2016 00:35:12",2016-07-12 23:43:00,2016-07-13 00:35:00,"12","23"
3200,"City",15,"Trip Completed","13-07-2016 09:39:44","13-07-2016 10:30:58",2016-07-13 09:39:00,2016-07-13 10:30:00,"13","09"
3865,"City",15,"Trip Completed","13-07-2016 21:52:05","13-07-2016 22:21:15",2016-07-13 21:52:00,2016-07-13 22:21:00,"13","21"
4468,"City",15,"Trip Completed","14-07-2016 08:42:46","14-07-2016 09:22:01",2016-07-14 08:42:00,2016-07-14 09:22:00,"14","08"
5163,"Airport",15,"Trip Completed","14-07-2016 20:34:30","14-07-2016 21:05:18",2016-07-14 20:34:00,2016-07-14 21:05:00,"14","20"
6009,"City",15,"Trip Completed","15-07-2016 12:22:35","15-07-2016 13:25:27",2016-07-15 12:22:00,2016-07-15 13:25:00,"15","12"
6448,"Airport",15,"Trip Completed","15-07-2016 20:02:54","15-07-2016 20:40:45",2016-07-15 20:02:00,2016-07-15 20:40:00,"15","20"
591,"City",16,"Trip Completed","11/7/2016 11:25","11/7/2016 12:31",2016-07-11 11:25:00,2016-07-11 12:31:00,"11","11"
709,"City",16,"Trip Completed","11/7/2016 14:16","11/7/2016 15:03",2016-07-11 14:16:00,2016-07-11 15:03:00,"11","14"
1167,"Airport",16,"Trip Completed","11/7/2016 20:50","11/7/2016 21:52",2016-07-11 20:50:00,2016-07-11 21:52:00,"11","20"
2661,"Airport",16,"Trip Completed","12/7/2016 23:23","13-07-2016 00:27:21",2016-07-12 23:23:00,2016-07-13 00:27:00,"12","23"
2808,"City",16,"Trip Completed","13-07-2016 05:05:16","13-07-2016 05:56:11",2016-07-13 05:05:00,2016-07-13 05:56:00,"13","05"
3258,"Airport",16,"Trip Completed","13-07-2016 10:12:51","13-07-2016 10:45:28",2016-07-13 10:12:00,2016-07-13 10:45:00,"13","10"
3413,"Airport",16,"Trip Completed","13-07-2016 15:32:01","13-07-2016 16:45:44",2016-07-13 15:32:00,2016-07-13 16:45:00,"13","15"
3939,"Airport",16,"Trip Completed","13-07-2016 22:26:26","13-07-2016 22:55:54",2016-07-13 22:26:00,2016-07-13 22:55:00,"13","22"
4125,"City",16,"Trip Completed","14-07-2016 04:37:11","14-07-2016 05:46:29",2016-07-14 04:37:00,2016-07-14 05:46:00,"14","04"
4457,"City",16,"Trip Completed","14-07-2016 08:36:24","14-07-2016 09:19:20",2016-07-14 08:36:00,2016-07-14 09:19:00,"14","08"
4728,"City",16,"Trip Completed","14-07-2016 14:04:13","14-07-2016 15:06:40",2016-07-14 14:04:00,2016-07-14 15:06:00,"14","14"
5347,"Airport",16,"Trip Completed","14-07-2016 22:51:47","14-07-2016 23:53:42",2016-07-14 22:51:00,2016-07-14 23:53:00,"14","22"
6147,"City",16,"Trip Completed","15-07-2016 16:11:02","15-07-2016 17:30:08",2016-07-15 16:11:00,2016-07-15 17:30:00,"15","16"
6496,"Airport",16,"Trip Completed","15-07-2016 20:33:00","15-07-2016 21:32:49",2016-07-15 20:33:00,2016-07-15 21:32:00,"15","20"
634,"City",17,"Trip Completed","11/7/2016 12:25","11/7/2016 13:06",2016-07-11 12:25:00,2016-07-11 13:06:00,"11","12"
939,"Airport",17,"Trip Completed","11/7/2016 18:25","11/7/2016 19:26",2016-07-11 18:25:00,2016-07-11 19:26:00,"11","18"
2628,"Airport",17,"Trip Completed","12/7/2016 22:10","12/7/2016 23:25",2016-07-12 22:10:00,2016-07-12 23:25:00,"12","22"
3021,"City",17,"Trip Completed","13-07-2016 07:33:20","13-07-2016 08:26:07",2016-07-13 07:33:00,2016-07-13 08:26:00,"13","07"
4743,"City",17,"Trip Completed","14-07-2016 14:54:16","14-07-2016 15:39:03",2016-07-14 14:54:00,2016-07-14 15:39:00,"14","14"
4981,"City",17,"Trip Completed","14-07-2016 18:47:42","14-07-2016 19:43:44",2016-07-14 18:47:00,2016-07-14 19:43:00,"14","18"
5367,"Airport",17,"Trip Completed","14-07-2016 23:35:34","15-07-2016 00:25:26",2016-07-14 23:35:00,2016-07-15 00:25:00,"14","23"
5471,"Airport",17,"Trip Completed","15-07-2016 04:48:57","15-07-2016 05:47:13",2016-07-15 04:48:00,2016-07-15 05:47:00,"15","04"
5988,"Airport",17,"Trip Completed","15-07-2016 11:48:32","15-07-2016 12:55:02",2016-07-15 11:48:00,2016-07-15 12:55:00,"15","11"
6477,"Airport",17,"Trip Completed","15-07-2016 20:21:26","15-07-2016 21:00:31",2016-07-15 20:21:00,2016-07-15 21:00:00,"15","20"
499,"City",18,"Trip Completed","11/7/2016 9:39","11/7/2016 10:16",2016-07-11 09:39:00,2016-07-11 10:16:00,"11","09"
1147,"Airport",18,"Trip Completed","11/7/2016 20:42","11/7/2016 21:18",2016-07-11 20:42:00,2016-07-11 21:18:00,"11","20"
1410,"Airport",18,"Trip Completed","12/7/2016 3:14","12/7/2016 4:27",2016-07-12 03:14:00,2016-07-12 04:27:00,"12","03"
1804,"Airport",18,"Trip Completed","12/7/2016 9:12","12/7/2016 9:57",2016-07-12 09:12:00,2016-07-12 09:57:00,"12","09"
1949,"Airport",18,"Trip Completed","12/7/2016 11:32","12/7/2016 12:13",2016-07-12 11:32:00,2016-07-12 12:13:00,"12","11"
2713,"City",18,"Trip Completed","13-07-2016 01:46:42","13-07-2016 02:37:08",2016-07-13 01:46:00,2016-07-13 02:37:00,"13","01"
2845,"City",18,"Trip Completed","13-07-2016 05:28:29","13-07-2016 06:10:40",2016-07-13 05:28:00,2016-07-13 06:10:00,"13","05"
3943,"Airport",18,"Trip Completed","13-07-2016 22:35:38","13-07-2016 23:33:20",2016-07-13 22:35:00,2016-07-13 23:33:00,"13","22"
4792,"City",18,"Trip Completed","14-07-2016 16:47:15","14-07-2016 17:34:39",2016-07-14 16:47:00,2016-07-14 17:34:00,"14","16"
5207,"Airport",18,"Trip Completed","14-07-2016 20:57:41","14-07-2016 21:56:21",2016-07-14 20:57:00,2016-07-14 21:56:00,"14","20"
5890,"City",18,"Trip Completed","15-07-2016 09:43:57","15-07-2016 10:55:22",2016-07-15 09:43:00,2016-07-15 10:55:00,"15","09"
494,"City",19,"Trip Completed","11/7/2016 9:36","11/7/2016 10:02",2016-07-11 09:36:00,2016-07-11 10:02:00,"11","09"
1485,"City",19,"Trip Completed","12/7/2016 5:21","12/7/2016 6:35",2016-07-12 05:21:00,2016-07-12 06:35:00,"12","05"
2042,"City",19,"Trip Completed","12/7/2016 14:30","12/7/2016 15:09",2016-07-12 14:30:00,2016-07-12 15:09:00,"12","14"
2561,"Airport",19,"Trip Completed","12/7/2016 21:29","12/7/2016 22:44",2016-07-12 21:29:00,2016-07-12 22:44:00,"12","21"
3813,"Airport",19,"Trip Completed","13-07-2016 21:06:57","13-07-2016 21:46:24",2016-07-13 21:06:00,2016-07-13 21:46:00,"13","21"
4260,"Airport",19,"Trip Completed","14-07-2016 06:11:51","14-07-2016 06:59:46",2016-07-14 06:11:00,2016-07-14 06:59:00,"14","06"
4395,"City",19,"Trip Completed","14-07-2016 08:00:15","14-07-2016 08:54:39",2016-07-14 08:00:00,2016-07-14 08:54:00,"14","08"
5919,"City",19,"Trip Completed","15-07-2016 10:03:42","15-07-2016 10:59:27",2016-07-15 10:03:00,2016-07-15 10:59:00,"15","10"
6002,"Airport",19,"Trip Completed","15-07-2016 12:04:15","15-07-2016 12:53:36",2016-07-15 12:04:00,2016-07-15 12:53:00,"15","12"
468,"City",20,"Trip Completed","11/7/2016 9:20","11/7/2016 10:05",2016-07-11 09:20:00,2016-07-11 10:05:00,"11","09"
693,"Airport",20,"Trip Completed","11/7/2016 13:51","11/7/2016 15:01",2016-07-11 13:51:00,2016-07-11 15:01:00,"11","13"
1178,"City",20,"Trip Completed","11/7/2016 21:05","11/7/2016 22:06",2016-07-11 21:05:00,2016-07-11 22:06:00,"11","21"
2103,"City",20,"Trip Completed","12/7/2016 16:08","12/7/2016 17:18",2016-07-12 16:08:00,2016-07-12 17:18:00,"12","16"
2292,"Airport",20,"Trip Completed","12/7/2016 18:46","12/7/2016 19:23",2016-07-12 18:46:00,2016-07-12 19:23:00,"12","18"
